scheme,category,count
jira_project,CARBONDATA,1853
jira_project,ARROW,1833
jira_project,AMBARI,1817
jira_project,BEAM,1478
jira_project,GEODE,1387
jira_project,ACCUMULO,1263
jira_project,STORM,926
jira_project,EXOJCR,749
jira_project,FLINK,712
jira_project,IGNITE,622
jira_project,INT,459
jira_project,BATCH,354
jira_project,TS,344
jira_project,MXNET,317
jira_project,NETBEANS,317
jira_project,RF,301
jira_project,STS,282
jira_project,JBLAB,255
jira_project,ZOOKEEPER,234
jira_project,STDCXX,226
jira_project,GTNPORTAL,220
jira_project,JBTM,217
jira_project,AEROGEAR,213
jira_project,SPR,205
jira_project,DAFFODIL,190
jira_project,NIFI,190
jira_project,HDDS,180
jira_project,JBPORTAL,170
jira_project,MNG,165
jira_project,SCB,161
jira_project,JBEAP,160
jira_project,JBESB,146
jira_project,CALCITE,144
jira_project,CAMEL,122
jira_project,JBFORUMS,120
jira_project,SLING,114
jira_project,METRON,111
jira_project,JBAS,105
jira_project,SWS,102
jira_project,ARTEMIS,99
jira_project,THRIFT,98
jira_project,INFRA,95
jira_project,SLIDER,89
jira_project,JBDS,88
jira_project,DATAMONGO,88
jira_project,LUCENE,87
jira_project,JBNMAN,83
jira_project,HIVE,81
jira_project,MRM,74
jira_project,MINIFICPP,74
jira_project,MARMOTTA,73
jira_project,JBCACHE,70
jira_project,ZEPPELIN,70
jira_project,GROOVY,69
jira_project,ENTMQBR,69
jira_project,CASSANDRA,68
jira_project,GOBBLIN,68
jira_project,PBR,66
jira_project,CONTINUUM,65
jira_project,TOOLSDOC,63
jira_project,DLAB,61
jira_project,DATACMNS,56
jira_project,AMQNET,53
jira_project,BIGTOP,51
jira_project,JBNET,51
jira_project,JBSHOTOKU,51
jira_project,LDAP,45
jira_project,DATAJPA,45
jira_project,BXMSDOC,43
jira_project,JBPM,42
jira_project,PHOENIX,42
jira_project,FUSETOOLS,41
jira_project,SAMZA,39
jira_project,WFKDOC,39
jira_project,JBTIS,39
jira_project,SYSTEMML,35
jira_project,PARQUET,34
jira_project,JBMAIL,34
jira_project,KNOX,34
jira_project,SLICE,33
jira_project,JENA,33
jira_project,JBWIKI,32
jira_project,WOOKIE,32
jira_project,IOTDB,31
jira_project,NEMO,31
jira_project,FUSEDOC,29
jira_project,NIFIREG,28
jira_project,JBWS,28
jira_project,TRAFODION,28
jira_project,SJC,28
jira_project,QPID,27
jira_project,JBBUILD,26
jira_project,MJAVADOC,24
jira_project,MRELEASE,23
jira_project,BPEL,23
jira_project,SUREFIRE,22
jira_project,SHIRO,22
jira_project,FINERACT,22
jira_project,CXF,22
jira_project,JBIDE,22
jira_project,SWF,21
jira_project,ORC,21
jira_project,JBSER,21
jira_project,JBBENCH,20
jira_project,TAMAYA,20
jira_project,SOLR,19
jira_project,MWAR,19
jira_project,JBMESSAGING,18
jira_project,GORA,18
jira_project,REEF,18
jira_project,LIVY,17
jira_project,CAY,17
jira_project,MARVIN,16
jira_project,JBPAPP,16
jira_project,JBBLOG,15
jira_project,CLIMATE,15
jira_project,DATACASS,15
jira_project,MASSEMBLY,14
jira_project,RNG,14
jira_project,ATLAS,14
jira_project,STREAMS,13
jira_project,JBADMCON,13
jira_project,GRIFFIN,13
jira_project,APEXMALHAR,13
jira_project,UIMA,12
